sample_id	Cell Cycle	HIPPO	MYC	NOTCH	NRF2	PI3K	RTK RAS	TP53	TGF-Beta	WNT
f9c0a08b-d1e5-4c18-e040-11ac0c4864df	1	0	0	0	0	1	0	0	0	0
f9c39eb7-39a9-6626-e040-11ac0d4870c2	1	0	0	0	0	1	0	1	0	0
fc9d5fc6-7f7d-1313-e040-11ac0d485f85	0	0	0	0	0	1	0	0	0	0
008aef39-0c97-48ce-9dfd-f12d67116c59	1	0	0	0	0	0	0	0	0	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	1	0	0	0	0	0	0	1	0	0
0bfd1043-8181-e3e4-e050-11ac0c4860c5	1	0	0	0	0	0	0	0	0	1
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	1	0	0	0	0	0	0	1	0	0
2c9c50ff-01d9-4703-931b-04119178706f	1	0	0	0	0	0	0	0	0	0
3c92c0e9-68e0-4354-8ed1-b6506878145d	1	0	0	0	0	0	0	0	0	0
48c33a30-557b-4ecf-8066-5b4b068b5e3a	1	0	0	0	0	0	0	0	0	0
551d5082-ab6a-4674-af0d-ce408f589949	1	0	0	0	0	0	0	0	0	0
61a48c69-4f7d-4dc6-aff7-88a6c33137df	1	0	0	0	0	0	0	0	0	0
7ae9b843-488f-459c-8c0d-c81dcae57f99	1	0	0	0	0	0	0	0	0	0
98f54445-b151-4aeb-b8cf-91d743ba066e	1	0	0	0	0	0	0	1	0	0
c08f65a0-bf4c-462e-9d07-ad56b3adcac8	1	0	0	0	0	0	0	0	0	0
d1cebf4a-4127-47ee-85cb-465fca2ac445	1	0	0	0	0	0	0	0	0	0
